站代號,站名,郵遞區號,地址,經度,緯度,電話,提供服務時段
D2041,八堵加油加氣站,205,基隆市暖暖區八堵路158號,121.7258333,25.10416667,(02)24560524,00:00-24:00
D2054,澳底站,228,新北市貢寮區真理里美艷山街6-2號,121.9286111,25.06083333,(02)24901501,07:00-21:00
D2140,中崙站,104,台北市中山區八德路二段214號,121.5397222,25.04638889,(02)27712548,00:00-24:00
D214R,內湖站,114,台北市內湖區民權東路六段50號,121.5838889,25.06861111,(02)27920678,00:00-24:00
D2163,信義路站,106,台北市大安區信義路四段374號,121.5555556,25.03305556,(02)27081235,00:00-24:00
D2165,民生東路站,105,台北市松山區三民路126號,121.5638889,25.05944444,(02)27671664,00:00-24:00
D216R,埔墘站,220,新北市板橋區中山路二段320號,121.4808333,25.01944444,(02)29553436,00:00-24:00
D234C,武陵站,330,桃園市桃園區中山路1020號,121.2847222,24.98833333,(03)3604492,00:00-24:00
D234F,迴龍站,333,桃園市龜山區龍壽里萬壽路一段383號,121.4,25.01611111,(02)82093915,00:00-24:00
D234G,林口工三站,333,桃園市龜山區樂善里文化一路33號,121.3702778,25.06166667,(03)3282232,00:00-24:00
D234H,龜山站,333,桃園市龜山區萬壽路二段640號,121.3463889,25,(03)3296223,00:00-24:00
D234W,大竹站,338,桃園市蘆竹區大竹里大竹路503號,121.2608333,25.02277778,(03)3232425,07:00-22:00
D234X,春日路站,330,桃園市桃園區春日路971號,121.3102778,25.01055556,(03)3550381,00:00-24:00
D234Y,平鎮站,324,桃園市平鎮區延平路二段152號,121.2105556,24.94805556,(03)4934734,00:00-24:00
D235C,梅溪站,326,桃園市楊梅區中山北路一段391號,121.1594444,24.90861111,(03)4782632,00:00-24:00
D235D,新富站,324,桃園市平鎮區新富里中豐路一段298號,121.212726,24.927107,(03)4573401,00:00-24:00
D235E,建龍站,325,桃園市龍潭區烏林里中豐路716號,121.2127778,24.88916667,(03)4792578,07:00-22:00
D235F,新坡站,328,桃園市觀音區大同里中山路二段794號,121.1394444,25.01055556,(03)2825887,07:00-21:00
D235G,新屋站,327,桃園市新屋區中山路85號,121.1105556,24.97083333,(03)4772644,07:00-22:00
D235H,觀音站,328,桃園市觀音區廣興里中山路一段166號,121.0852778,25.03472222,(03)4735944,07:00-21:00
D235J,龍潭站,325,桃園市龍潭區北龍路264號,121.2175,24.8675,(03)4792614,00:00-24:00
D235K,富岡站,326,桃園市楊梅區民富路三段574號,121.0933333,24.93388889,(03)4722045,07:00-21:00
D235L,介壽路站,330,桃園市桃園區介壽路324號,121.305,24.98027778,(03)3615070,00:00-24:00
D235M,八德站,334,桃園市八德區竹園里長興路556號,121.2711111,24.93277778,(03)3651042,07:00-22:00
D235N,茄苳站,334,桃園市八德區茄苳里中華路575號,121.2697222,24.97722222,(03)3696978,07:00-22:00
D235Q,中壢工業區加油加氣站,320,桃園市中壢區中華路二段230號,121.2380556,24.96527778,(03)4521948,00:00-24:00
D235R,中壢工二站,320,桃園市中壢區吉林路37巷15號,121.2472222,24.98,(03)4620443,00:00-24:00
D235U,龍岡站,320,桃園市中壢區環中東路二段659號,121.23,24.94444444,(03)4592501,00:00-24:00
D235V,大溪站,335,桃園市大溪區瑞興里20鄰瑞安路一段268號,121.2794444,24.88583333,(03)3801304,07:00-21:00
D235X,慈湖站,335,桃園市大溪區復興路一段970號,121.285,24.84638889,(03)3881410,07:00-21:00
D414M,南投三和站,540,南投縣南投市三和里中興路549號,120.6908333,23.90638889,(049)2227255,00:00-24:00
D414W,鹿谷站,558,南投縣鹿谷鄉鹿谷村中正路二段137號,120.7525,23.74777778,(049)2752874,06:30-21:30
D415H,大甲日南站,437,台中市大甲區經國路1666號,120.6422222,24.36638889,(04)26871037,07:00-21:00
D4160,永靖站,512,彰化縣永靖鄉港西村中山路一段637號,120.5447222,23.91555556,(04)8221945,07:00-22:00
D416J,東山路站,406,台中市北屯區東山路一段377-5號,120.7280556,24.17694444,(04)22392062,07:00-22:00
D416M,霧峰林森路站,413,台中市霧峰區林森路455號,120.6947222,24.06138889,(04)23339411,00:00-24:00
D4244,民華站,300,新竹市東區中華路二段156-1號,120.9786111,24.80666667,(03)5326491,00:00-24:00
D4248,竹北站,302,新竹縣竹北市中華路439號,121.0052778,24.84083333,(03)5552154,07:00-22:00
D4343,信義路站,600,嘉義市西區博愛路二段519號,120.4288889,23.46888889,(05)2359381,00:00-24:00
D434Z,北興站,600,嘉義市西區自由路436號,120.4333333,23.49194444,(05)2348070,07:00-21:00
D4364,虎尾新生路站,632,雲林縣虎尾鎮新生路155號,120.4361111,23.70722222,(05)6322812,00:00-24:00
D43W2,雅虎站,640,雲林縣斗六市虎溪里西平路776號,120.5236111,23.72666667,(05)5514796,00:00-24:00
D505E,前鋒站,704,台南市北區前鋒路283號,120.2152778,23.00472222,(06)2082162,00:00-24:00
D506B,大湖站,829,高雄市湖內區大湖里中山路一段72號,120.2519444,22.87861111,(07)6931793,00:00-24:00
D506C,安中路站,709,台南市安南區安中路四段446號,120.1605556,23.05388889,(06)2569825,07:00-21:00
D507E,麻學站,721,台南市麻豆區大山里大山腳67-25號,120.215,23.19527778,(06)5700735,07:00-21:00
D507N,大同路站,702,台南市南區大同路二段380號,120.2136111,22.97527778,(06)2153503,00:00-24:00
D514T,臨海工業區站,812,高雄市小港區沿海二路2號,120.3708333,22.54305556,(07)8010873,07:00-22:00
D515K,水門站,912,屏東縣內埔鄉水門村中山路1號,120.6380556,22.70472222,(08)7991585,06:00-21:00
D516E,麟洛站,909,屏東縣麟洛鄉麟蹄村中山路64號,120.5305556,22.6475,(08)7233148,07:00-22:00
D516T,和生路站,900,屏東縣屏東市橋南里和生路一段560號,120.4947222,22.65305556,(08)7536740,07:00-21:00
D5176,仁武站,814,高雄市仁武區鳳仁路282號,120.3444444,22.70333333,(07)3711361,00:00-24:00
D517N,大林站,812,高雄市小港區鳳華路1號,120.3497222,22.52472222,(07)8714612,07:00-21:00
D616G,北關站,261,宜蘭縣頭城鎮濱海路三段326號,121.870826,24.905748,(03)9776128,08:00-17:00
D6170,馬蘭站,950,台東縣台東市更生路653號,121.1375,22.76638889,(089)226401,07:00-22:00
